Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2022); ; 
Code;Libellé;Part des 45-59 ans 2019
02017;Anguilcourt-le-Sart;16.7
02018;Anizy-le-Grand;20.4
02019;Annois;19.6
02020;Any-Martin-Rieux;20.4
02021;Archon;22.5
02022;Arcy-Sainte-Restitue;24.2
02023;Armentières-sur-Ourcq;26.5
02024;Arrancy;20.8
02025;Artemps;18.1
02027;Assis-sur-Serre;22.9
02028;Athies-sous-Laon;21.8
02029;Attilly;24
02030;Aubencheul-aux-Bois;22.8
02031;Aubenton;19.9
02032;Aubigny-aux-Kaisnes;20.2
02033;Aubigny-en-Laonnois;21.9
02034;Audignicourt;21.2
02035;Audigny;20.7
02036;Augy;33.3
02037;Aulnois-sous-Laon;20.7
02038;Les Autels;13.8
02039;Autremencourt;19.6
02040;Autreppes;20.2
02041;Autreville;21.3
02042;Azy-sur-Marne;26.5
02043;Bagneux;29.2
02044;Bancigny;12.5
02046;Barenton-Bugny;23.3
02047;Barenton-Cel;30.8
02048;Barenton-sur-Serre;15.4
02049;Barisis-aux-Bois;21.3
02050;Barzy-en-Thiérache;20.3
02051;Barzy-sur-Marne;23
02052;Bassoles-Aulers;22.8
02053;Vallées en Champagne;22.5
02054;Bazoches-et-Saint-Thibaut;19.7
02055;Beaumé;24.7
02056;Beaumont-en-Beine;16.4
02057;Beaurevoir;20.2
02058;Beaurieux;18.7
02059;Beautor;20.6
02060;Beauvois-en-Vermandois;26.3
02061;Becquigny;21.2
02062;Belleau;23.5
02063;Bellenglise;23.5
02064;Belleu;21.1
02065;Bellicourt;22.6
02066;Benay;18.9
02067;Bergues-sur-Sambre;23
02068;Berlancourt;23.9
02069;Berlise;24.3
02070;Bernot;22.7
02071;Berny-Rivière;20.5
02072;Berrieux;25.3
02073;Berry-au-Bac;19.8
02074;Bertaucourt-Epourdon;20.6
02075;Berthenicourt;17.9
02076;Bertricourt;29.5
02077;Berzy-le-Sec;21
02078;Besmé;18.3
02079;Besmont;21.1
02080;Besny-et-Loizy;23.1
02081;Béthancourt-en-Vaux;27
02082;Beugneux;27.9
02083;Beuvardes;21.5
02084;Bézu-le-Guéry;26.3
02085;Bézu-Saint-Germain;22.6
02086;Bichancourt;21.4
02087;Bieuxy;29.4
02088;Bièvres;17.9
02089;Billy-sur-Aisne;18.7
02090;Billy-sur-Ourcq;24.5
02091;Blanzy-lès-Fismes;16.8
02093;Blérancourt;19.1
02094;Blesmes;21.2
02095;Bohain-en-Vermandois;19.1
02096;Bois-lès-Pargny;26.1
02097;Boncourt;23.5
02098;Bonneil;25.3
02099;Bonnesvalyn;26.2
02100;Bony;18.1
02101;Bosmont-sur-Serre;16.8
02102;Bouconville-Vauclair;18.4
02103;Boué;16.6
02104;Bouffignereux;26.3
02105;Bouresches;25.4
02106;Bourg-et-Comin;16
02107;Bourguignon-sous-Coucy;23.8
02108;Bourguignon-sous-Montbavin;22.8
02109;La Bouteille;22.7
02110;Braine;19.9
02111;Brancourt-en-Laonnois;18.7
02112;Brancourt-le-Grand;21
02114;Brasles;20
02115;Braye-en-Laonnois;25.1
02116;Braye-en-Thiérache;20
02117;Bray-Saint-Christophe;36.4
02118;Braye;29.2
02119;Brécy;27.4
02120;Brenelle;21.9
02121;Breny;22.1
02122;Brie;18.2
02123;Brissay-Choigny;23.7
02124;Brissy-Hamégicourt;20.2
02125;Brumetz;31.1
