Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2021); ; 
Code;Libellé;Taux de pauvreté (seuil à 60% du revenu médian) 2018
01374;Saint-Martin-du-Mont;N/A
01375;Saint-Martin-le-Châtel;N/A
01376;Saint-Maurice-de-Beynost;9
01378;Saint-Maurice-de-Gourdans;N/A
01379;Saint-Maurice-de-Rémens;N/A
01380;Saint-Nizier-le-Bouchoux;N/A
01381;Saint-Nizier-le-Désert;N/A
01382;Sainte-Olive;N/A
01383;Saint-Paul-de-Varax;N/A
01384;Saint-Rambert-en-Bugey;N/A
01385;Saint-Rémy;N/A
01386;Saint-Sorlin-en-Bugey;N/A
01387;Saint-Sulpice;N/A
01388;Saint-Trivier-de-Courtes;N/A
01389;Saint-Trivier-sur-Moignans;N/A
01390;Saint-Vulbas;N/A
01391;Salavre;N/A
01392;Samognat;N/A
01393;Sandrans;N/A
01396;Sault-Brénaz;N/A
01397;Sauverny;N/A
01398;Savigneux;N/A
01399;Ségny;N/A
01400;Seillonnaz;N/A
01401;Sergy;N/A
01402;Sermoyer;N/A
01403;Serrières-de-Briord;N/A
01404;Serrières-sur-Ain;N/A
01405;Servas;N/A
01406;Servignat;N/A
01407;Seyssel;N/A
01408;Simandre-sur-Suran;N/A
01410;Sonthonnax-la-Montagne;N/A
01411;Souclin;N/A
01412;Sulignat;N/A
01415;Talissieu;N/A
01416;Tenay;N/A
01418;Thil;N/A
01419;Thoiry;14
01420;Thoissey;N/A
01421;Torcieu;N/A
01422;Tossiat;N/A
01423;Toussieux;N/A
01424;Tramoyes;N/A
01425;La Tranclière;N/A
01426;Val-Revermont;N/A
01427;Trévoux;12
01428;Valeins;N/A
01429;Vandeins;N/A
01430;Varambon;N/A
01431;Vaux-en-Bugey;N/A
01432;Verjon;N/A
01433;Vernoux;N/A
01434;Versailleux;N/A
01435;Versonnex;N/A
01436;Vesancy;N/A
01437;Vescours;N/A
01439;Vésines;N/A
01441;Vieu-d'Izenave;N/A
01443;Villars-les-Dombes;8
01444;Villebois;N/A
01445;Villemotier;N/A
01446;Villeneuve;N/A
01447;Villereversure;N/A
01448;Villes;N/A
01449;Villette-sur-Ain;N/A
01450;Villieu-Loyes-Mollon;N/A
01451;Viriat;8
01452;Virieu-le-Grand;N/A
01453;Arvière-en-Valromey;N/A
01454;Virignin;N/A
01456;Vongnes;N/A
01457;Vonnas;10
02001;Abbécourt;N/A
02002;Achery;N/A
02003;Acy;N/A
02004;Agnicourt-et-Séchelles;N/A
02005;Aguilcourt;N/A
02006;Aisonville-et-Bernoville;N/A
02007;Aizelles;N/A
02008;Aizy-Jouy;N/A
02009;Alaincourt;N/A
02010;Allemant;N/A
02011;Ambleny;N/A
02012;Ambrief;N/A
02013;Amifontaine;N/A
02014;Amigny-Rouy;N/A
02015;Ancienville;N/A
02016;Andelain;N/A
02017;Anguilcourt-le-Sart;N/A
02018;Anizy-le-Grand;14
02019;Annois;N/A
02020;Any-Martin-Rieux;N/A
02021;Archon;N/A
02022;Arcy-Sainte-Restitue;N/A
02023;Armentières-sur-Ourcq;N/A
02024;Arrancy;N/A
02025;Artemps;N/A
02027;Assis-sur-Serre;N/A
02028;Athies-sous-Laon;10
02029;Attilly;N/A
02030;Aubencheul-aux-Bois;N/A
02031;Aubenton;N/A
02032;Aubigny-aux-Kaisnes;N/A
02033;Aubigny-en-Laonnois;N/A
02034;Audignicourt;N/A
02035;Audigny;N/A
02036;Augy;N/A
02037;Aulnois-sous-Laon;N/A
02038;Les Autels;N/A
02039;Autremencourt;N/A
02040;Autreppes;N/A
02041;Autreville;N/A
02042;Azy-sur-Marne;N/A
02043;Bagneux;N/A
02044;Bancigny;N/A
02046;Barenton-Bugny;N/A
02047;Barenton-Cel;N/A
02048;Barenton-sur-Serre;N/A
02049;Barisis-aux-Bois;N/A
02050;Barzy-en-Thiérache;N/A
02051;Barzy-sur-Marne;N/A
02052;Bassoles-Aulers;N/A
02053;Vallées en Champagne;N/A
02054;Bazoches-sur-Vesles;N/A
02055;Beaumé;N/A
02056;Beaumont-en-Beine;N/A
02057;Beaurevoir;N/A
02058;Beaurieux;N/A
02059;Beautor;31
02060;Beauvois-en-Vermandois;N/A
02061;Becquigny;N/A
02062;Belleau;N/A
02063;Bellenglise;N/A
02064;Belleu;16
02065;Bellicourt;N/A
02066;Benay;N/A
02067;Bergues-sur-Sambre;N/A
02068;Berlancourt;N/A
02069;Berlise;N/A
