"Code","Département","Commune","Exprimés_T1","Abstentions_T1","Nb_voix_Le_Pen_T1","Voix_Le_Pen_T1","Exprimés_T2","Abstentions_T2","Nb_voix_Le_Pen_T2","Voix_Le_Pen_T2","Age_18_24ans","Age_30_44ans","Age_45_59ans","Agriculteurs_exploitants","Artisans_commerçants_chefs_d'entreprise","Cadres_professions_intellectuelles_supérieures","Employés","Ouvriers","Professions_intermédiaires","Retraités","Sans_activité_professionelles_ou_autre","Chômage","Salariés_emploi_précaire","Non_diplomés_non_scolarisés","Diplomés_supérieur_non_scolarisés","Indicateur_dépendance_économique","Immigrés","Vivant_quartier_prioritaire","Densité_population","Médiane_revenu_dispo_par_unité_consommation","Ressource_plus_50_pct_Caf","Rsa"
"97741","Polynésie française","Rapa",145,274,12,8.28,278,142,203,73.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97742","Polynésie française","Reao",266,198,35,13.16,308,155,93,30.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97743","Polynésie française","Rimatara",229,511,31,13.54,338,402,124,36.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97744","Polynésie française","Rurutu",1052,1106,91,8.65,1217,922,367,30.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97745","Polynésie française","Tahaa",1422,3179,274,19.27,2149,2462,1343,62.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97746","Polynésie française","Tahuata",247,333,39,15.79,295,284,98,33.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97747","Polynésie française","Taiarapu-Est",2367,7666,590,24.93,3693,6283,1949,52.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97748","Polynésie française","Taiarapu-Ouest",1494,4813,294,19.68,2380,3912,1363,57.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97749","Polynésie française","Takaroa",404,828,65,16.09,548,683,162,29.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97750","Polynésie française","Taputapuatea",1161,2751,228,19.64,1786,2077,863,48.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97751","Polynésie française","Tatakoto",93,63,9,9.68,113,46,88,77.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97752","Polynésie française","Teva I Uta",1634,5954,383,23.44,2970,4575,1330,44.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97753","Polynésie française","Tubuai",422,1403,98,23.22,655,1172,327,49.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97754","Polynésie française","Tumaraa",743,2295,146,19.65,1102,1908,528,47.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97755","Polynésie française","Tureia",97,145,16,16.49,108,130,29,26.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97756","Polynésie française","Ua-Huka",334,189,25,7.49,366,158,78,21.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97757","Polynésie française","Ua-Pou",729,1026,191,26.2,869,881,359,41.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97758","Polynésie française","Uturoa",1026,2472,227,22.12,1456,1981,720,49.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97501","Saint-Pierre-et-Miquelon","Miquelon-Langlade",232,268,62,26.72,267,216,143,53.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97502","Saint-Pierre-et-Miquelon","Saint-Pierre",2469,2004,397,16.08,2254,1948,1135,50.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97001","Wallis et Futuna","Wallis-Et-Futuna",5359,4125,579,10.8,5680,3674,1849,32.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97701","Saint-Martin/Saint-Barthélemy","Saint-Barthélémy",2642,2563,592,22.41,2781,2289,1522,54.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97801","Saint-Martin/Saint-Barthélemy","Saint-Martin",5726,13249,853,14.9,5856,12818,3265,55.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
