Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2022); ; 
Code;Libellé;Part des 30-44 ans 2019
01344;Saint-Denis-lès-Bourg;16.1
01345;Saint-Denis-en-Bugey;17.9
01346;Saint-Didier-d'Aussiat;19
01347;Saint-Didier-de-Formans;18.5
01348;Saint-Didier-sur-Chalaronne;18.6
01349;Saint-Éloi;19.5
01350;Saint-Étienne-du-Bois;18.7
01351;Saint-Étienne-sur-Chalaronne;20.5
01352;Saint-Étienne-sur-Reyssouze;17.7
01353;Sainte-Euphémie;20.8
01354;Saint-Genis-Pouilly;28
01355;Saint-Genis-sur-Menthon;20.2
01356;Saint-Georges-sur-Renon;21.5
01357;Saint-Germain-de-Joux;19.3
01358;Saint-Germain-les-Paroisses;20
01359;Saint-Germain-sur-Renon;17.4
01360;Saint-Jean-de-Gonville;27.4
01361;Saint-Jean-de-Niost;20.2
01362;Saint-Jean-de-Thurigneux;21.6
01363;Saint-Jean-le-Vieux;17.6
01364;Saint-Jean-sur-Reyssouze;17.2
01365;Saint-Jean-sur-Veyle;20.3
01366;Sainte-Julie;24.2
01367;Saint-Julien-sur-Reyssouze;22.6
01368;Saint-Julien-sur-Veyle;21.9
01369;Saint-Just;16.3
01370;Saint-Laurent-sur-Saône;21.9
01371;Saint-Marcel;22
01372;Saint-Martin-de-Bavel;18.1
01373;Saint-Martin-du-Frêne;15.5
01374;Saint-Martin-du-Mont;19.9
01375;Saint-Martin-le-Châtel;21.4
01376;Saint-Maurice-de-Beynost;18.5
01378;Saint-Maurice-de-Gourdans;17.9
01379;Saint-Maurice-de-Rémens;23.6
01380;Saint-Nizier-le-Bouchoux;12.8
01381;Saint-Nizier-le-Désert;22.6
01382;Sainte-Olive;19.4
01383;Saint-Paul-de-Varax;19.4
01384;Saint-Rambert-en-Bugey;17.9
01385;Saint-Rémy;18.5
01386;Saint-Sorlin-en-Bugey;20.2
01387;Saint-Sulpice;23.8
01388;Saint-Trivier-de-Courtes;16.1
01389;Saint-Trivier-sur-Moignans;17.2
01390;Saint-Vulbas;23
01391;Salavre;16.9
01392;Samognat;16.2
01393;Sandrans;21.8
01396;Sault-Brénaz;21.3
01397;Sauverny;20.7
01398;Savigneux;22.7
01399;Ségny;23.2
01400;Seillonnaz;16.1
01401;Sergy;21.8
01402;Sermoyer;18
01403;Serrières-de-Briord;18
01404;Serrières-sur-Ain;15.7
01405;Servas;18.8
01406;Servignat;18.4
01407;Seyssel;19.6
01408;Simandre-sur-Suran;19.5
01410;Sonthonnax-la-Montagne;17
01411;Souclin;23.5
01412;Sulignat;18.4
01415;Talissieu;14.7
01416;Tenay;18.7
01418;Thil;17.4
01419;Thoiry;24.3
01420;Thoissey;15.3
01421;Torcieu;19.5
01422;Tossiat;19.3
01423;Toussieux;23.2
01424;Tramoyes;19
01425;La Tranclière;22.2
01426;Val-Revermont;19.1
01427;Trévoux;21.5
01428;Valeins;21.4
01429;Vandeins;20
01430;Varambon;21.7
01431;Vaux-en-Bugey;20.4
01432;Verjon;19.1
01433;Vernoux;25.1
01434;Versailleux;23.3
01435;Versonnex;21.3
01436;Vesancy;21.7
01437;Vescours;18.8
01439;Vésines;23.2
01441;Vieu-d'Izenave;23.4
01443;Villars-les-Dombes;17.2
01444;Villebois;20.7
01445;Villemotier;20.7
01446;Villeneuve;19.6
01447;Villereversure;18.5
01448;Villes;20.7
01449;Villette-sur-Ain;18.1
01450;Villieu-Loyes-Mollon;21.7
01451;Viriat;17.2
01452;Virieu-le-Grand;19.8
01453;Arvière-en-Valromey;16.5
01454;Virignin;20.1
01456;Vongnes;11.3
01457;Vonnas;17.7
02001;Abbécourt;21.8
02002;Achery;19.3
02003;Acy;19.2
02004;Agnicourt-et-Séchelles;16.2
02005;Aguilcourt;19.7
02006;Aisonville-et-Bernoville;17.9
02007;Aizelles;19.2
02008;Aizy-Jouy;27.4
02009;Alaincourt;21.4
02010;Allemant;18.1
02011;Ambleny;17.8
02012;Ambrief;26.8
02013;Amifontaine;17.9
02014;Amigny-Rouy;20.6
02015;Ancienville;14.5
02016;Andelain;20.8
02017;Anguilcourt-le-Sart;21.3
02018;Anizy-le-Grand;16
02019;Annois;16.1
02020;Any-Martin-Rieux;17.6
02021;Archon;16.9
02022;Arcy-Sainte-Restitue;18.4
02023;Armentières-sur-Ourcq;20.6
02024;Arrancy;17
02025;Artemps;21.1
02027;Assis-sur-Serre;15
02028;Athies-sous-Laon;17.3
02029;Attilly;17.8
02030;Aubencheul-aux-Bois;12.9
02031;Aubenton;16.7
02032;Aubigny-aux-Kaisnes;20.2
02033;Aubigny-en-Laonnois;21.9
02034;Audignicourt;18.6
02035;Audigny;18.9
02036;Augy;13.9
02037;Aulnois-sous-Laon;19.2
02038;Les Autels;13.8
02039;Autremencourt;17.2
02040;Autreppes;19.1
02041;Autreville;18.5
02042;Azy-sur-Marne;14.3
02043;Bagneux;21.5
02044;Bancigny;20.8
02046;Barenton-Bugny;19
02047;Barenton-Cel;15.4
02048;Barenton-sur-Serre;24.6
02049;Barisis-aux-Bois;17.9
02050;Barzy-en-Thiérache;20.3
02051;Barzy-sur-Marne;16.4
02052;Bassoles-Aulers;19.9
02053;Vallées en Champagne;17
02054;Bazoches-et-Saint-Thibaut;21.7
02055;Beaumé;12.4
02056;Beaumont-en-Beine;26
02057;Beaurevoir;16.7
02058;Beaurieux;20.5
02059;Beautor;16.3
02060;Beauvois-en-Vermandois;16
02061;Becquigny;21.2
02062;Belleau;18.4
02063;Bellenglise;20.6
02064;Belleu;15.3
02065;Bellicourt;18.3
02066;Benay;21.9
02067;Bergues-sur-Sambre;19.1
02068;Berlancourt;20.5
02069;Berlise;15
02070;Bernot;17.2
02071;Berny-Rivière;20.8
02072;Berrieux;21.1
02073;Berry-au-Bac;23
02074;Bertaucourt-Epourdon;20.6
02075;Berthenicourt;25
02076;Bertricourt;21.8
02077;Berzy-le-Sec;21.9
02078;Besmé;23.8
02079;Besmont;13.2
02080;Besny-et-Loizy;15.6
02081;Béthancourt-en-Vaux;16.1
02082;Beugneux;21.6
02083;Beuvardes;19.7
02084;Bézu-le-Guéry;22.2
02085;Bézu-Saint-Germain;21.9
02086;Bichancourt;18.1
02087;Bieuxy;20.6
02088;Bièvres;22.6
02089;Billy-sur-Aisne;16.6
02090;Billy-sur-Ourcq;20.8
02091;Blanzy-lès-Fismes;21.1
02093;Blérancourt;16.9
02094;Blesmes;19.9
02095;Bohain-en-Vermandois;15.7
02096;Bois-lès-Pargny;19.7
02097;Boncourt;21.3
02098;Bonneil;13.9
02099;Bonnesvalyn;19
02100;Bony;22.5
02101;Bosmont-sur-Serre;17.9
02102;Bouconville-Vauclair;25.4
02103;Boué;18.7
02104;Bouffignereux;16.2
02105;Bouresches;15.5
02106;Bourg-et-Comin;16.2
02107;Bourguignon-sous-Coucy;14.3
02108;Bourguignon-sous-Montbavin;19
02109;La Bouteille;16.2
02110;Braine;17.1
02111;Brancourt-en-Laonnois;19.6
02112;Brancourt-le-Grand;20.7
02114;Brasles;12.7
02115;Braye-en-Laonnois;12.3
02116;Braye-en-Thiérache;13.1
02117;Bray-Saint-Christophe;12.1
02118;Braye;14.2
02119;Brécy;17.1
02120;Brenelle;16.8
02121;Breny;21.3
02122;Brie;10.9
02123;Brissay-Choigny;18.2
02124;Brissy-Hamégicourt;18.1
02125;Brumetz;15.3
02126;Brunehamel;15.2
02127;Bruyères-sur-Fère;13.5
02128;Bruyères-et-Montbérault;16.3
02129;Bruys;15.8
02130;Bucilly;16.6
02131;Bucy-le-Long;16.4
02132;Bucy-lès-Cerny;23.9
02133;Bucy-lès-Pierrepont;16
02134;Buire;13.5
02135;Buironfosse;16.4
02136;Burelles;14.8
02137;Bussiares;24.2
02138;Buzancy;22.1
02139;Caillouël-Crépigny;21
02140;Camelin;18.3
02141;La Capelle;14.7
02142;Castres;21.7
02143;Le Catelet;18.8
02144;Caulaincourt;22.9
02145;Caumont;18.5
