Observatoire des territoires - ANCT; ; 
Référentiel géographique : Zones d'emploi (2020); ; 
Code;Libellé;Typologie des zones d'emploi selon l'orientation économique principale
8432;Vichy;ZEDIV
8433;Vienne-Annonay;ZEDRES
8434;Villefranche-sur-Saône;ZEDRES
8435;Voiron;ZEDRES
9301;Aix-en-Provence;ZEMET
9302;Briançon;ZETOU
9303;Brignoles;ZETOU
9304;Cannes;ZEMET
9305;Carpentras;ZEAGR
9306;Cavaillon;ZETOU
9307;Digne-les-Bains;ZETOU
9308;Draguignan;ZEDIV
9309;Fréjus;ZETOU
9310;Gap;ZETOU
9311;Manosque;ZEAGG
9312;Marseille;ZEMET
9313;Martigues-Salon;ZEAGG
9314;Menton;ZETOU
9315;Nice;ZEAGG
9316;Orange;ZEAGR
9317;Sainte-Maxime;ZETOU
9318;Toulon;ZEAGG
9401;Ajaccio;ZETOU
9402;Bastia;ZETOU
9403;Calvi;ZETOU
9404;Corte;ZETOU
9405;Ghisonaccia;ZEAGR
9406;Porto-Vecchio;ZETOU
9407;Propriano;ZETOU
