Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2022); ; 
Code;Libellé;Médiane du revenu disponible par UC 2020
01389;Saint-Trivier-sur-Moignans;23690
01390;Saint-Vulbas;23860
01391;Salavre;23080
01392;Samognat;25700
01393;Sandrans;24110
01396;Sault-Brénaz;20910
01397;Sauverny;39410
01398;Savigneux;25580
01399;Ségny;41380
01400;Seillonnaz;22250
01401;Sergy;41060
01402;Sermoyer;22150
01403;Serrières-de-Briord;21850
01404;Serrières-sur-Ain;23150
01405;Servas;22200
01406;Servignat;21910
01407;Seyssel;23070
01408;Simandre-sur-Suran;23160
01410;Sonthonnax-la-Montagne;26250
01411;Souclin;22480
01412;Sulignat;23860
01415;Talissieu;23550
01416;Tenay;19690
01418;Thil;29390
01419;Thoiry;37000
01420;Thoissey;19300
01421;Torcieu;22120
01422;Tossiat;25000
01423;Toussieux;26820
01424;Tramoyes;29750
01425;La Tranclière;24690
01426;Val-Revermont;23360
01427;Trévoux;22820
01428;Valeins;25070
01429;Vandeins;23580
01430;Varambon;22720
01431;Vaux-en-Bugey;23880
01432;Verjon;22530
01433;Vernoux;20220
01434;Versailleux;25090
01435;Versonnex;37620
01436;Vesancy;39640
01437;Vescours;21030
01439;Vésines;N/A
01441;Vieu-d'Izenave;22500
01443;Villars-les-Dombes;23880
01444;Villebois;22040
01445;Villemotier;23250
01446;Villeneuve;25610
01447;Villereversure;22220
01448;Villes;30760
01449;Villette-sur-Ain;25080
01450;Villieu-Loyes-Mollon;25820
01451;Viriat;24660
01452;Virieu-le-Grand;20230
01453;Arvière-en-Valromey;22540
01454;Virignin;22670
01456;Vongnes;N/A
01457;Vonnas;21320
02001;Abbécourt;20600
02002;Achery;21150
02003;Acy;22450
02004;Agnicourt-et-Séchelles;18660
02005;Aguilcourt;23590
02006;Aisonville-et-Bernoville;22140
02007;Aizelles;21650
02008;Aizy-Jouy;20900
02009;Alaincourt;22020
02010;Allemant;21040
02011;Ambleny;23420
02012;Ambrief;N/A
02013;Amifontaine;22590
02014;Amigny-Rouy;22440
02015;Ancienville;N/A
02016;Andelain;20340
02017;Anguilcourt-le-Sart;20330
02018;Anizy-le-Grand;20110
02019;Annois;20150
02020;Any-Martin-Rieux;19350
02021;Archon;N/A
02022;Arcy-Sainte-Restitue;22340
02023;Armentières-sur-Ourcq;21990
02024;Arrancy;N/A
02025;Artemps;23220
02027;Assis-sur-Serre;19980
02028;Athies-sous-Laon;22010
02029;Attilly;23720
02030;Aubencheul-aux-Bois;21120
02031;Aubenton;17910
02032;Aubigny-aux-Kaisnes;20150
02033;Aubigny-en-Laonnois;26090
02034;Audignicourt;21540
02035;Audigny;16860
02036;Augy;N/A
02037;Aulnois-sous-Laon;21890
02038;Les Autels;N/A
02039;Autremencourt;20270
02040;Autreppes;19440
02041;Autreville;23320
02042;Azy-sur-Marne;23170
02043;Bagneux;N/A
02044;Bancigny;N/A
02046;Barenton-Bugny;21850
02047;Barenton-Cel;23880
02048;Barenton-sur-Serre;21310
02049;Barisis-aux-Bois;23210
02050;Barzy-en-Thiérache;19980
02051;Barzy-sur-Marne;24720
02052;Bassoles-Aulers;22210
02053;Vallées en Champagne;25410
02054;Bazoches-et-Saint-Thibaut;22320
02055;Beaumé;N/A
02056;Beaumont-en-Beine;21760
02057;Beaurevoir;18700
02058;Beaurieux;19340
02059;Beautor;17010
02060;Beauvois-en-Vermandois;21900
02061;Becquigny;19130
02062;Belleau;25020
02063;Bellenglise;20900
02064;Belleu;19970
02065;Bellicourt;20370
02066;Benay;22790
02067;Bergues-sur-Sambre;22010
02068;Berlancourt;N/A
02069;Berlise;N/A
02070;Bernot;21220
02071;Berny-Rivière;22700
02072;Berrieux;24960
02073;Berry-au-Bac;21740
02074;Bertaucourt-Epourdon;20940
02075;Berthenicourt;22410
02076;Bertricourt;25350
02077;Berzy-le-Sec;23770
02078;Besmé;20530
02079;Besmont;18570
02080;Besny-et-Loizy;25840
02081;Béthancourt-en-Vaux;22790
