Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2022); ; 
Code;Libellé;Densité de population 2019
01348;Saint-Didier-sur-Chalaronne;117.61
01349;Saint-Éloi;35.27
01350;Saint-Étienne-du-Bois;89.57
01351;Saint-Étienne-sur-Chalaronne;74.85
01352;Saint-Étienne-sur-Reyssouze;42.19
01353;Sainte-Euphémie;368.76
01354;Saint-Genis-Pouilly;1427.12
01355;Saint-Genis-sur-Menthon;42.08
01356;Saint-Georges-sur-Renon;36.75
01357;Saint-Germain-de-Joux;44.54
01358;Saint-Germain-les-Paroisses;26.37
01359;Saint-Germain-sur-Renon;15.57
01360;Saint-Jean-de-Gonville;153.32
01361;Saint-Jean-de-Niost;111.13
01362;Saint-Jean-de-Thurigneux;49.12
01363;Saint-Jean-le-Vieux;115.59
01364;Saint-Jean-sur-Reyssouze;27.51
01365;Saint-Jean-sur-Veyle;103.66
01366;Sainte-Julie;97.04
01367;Saint-Julien-sur-Reyssouze;99.2
01368;Saint-Julien-sur-Veyle;85.16
01369;Saint-Just;278.7
01370;Saint-Laurent-sur-Saône;3184.91
01371;Saint-Marcel;106.7
01372;Saint-Martin-de-Bavel;52.24
01373;Saint-Martin-du-Frêne;53.45
01374;Saint-Martin-du-Mont;66.61
01375;Saint-Martin-le-Châtel;61.24
01376;Saint-Maurice-de-Beynost;566.81
01378;Saint-Maurice-de-Gourdans;104.17
01379;Saint-Maurice-de-Rémens;73.43
01380;Saint-Nizier-le-Bouchoux;22.33
01381;Saint-Nizier-le-Désert;36.9
01382;Sainte-Olive;37.75
01383;Saint-Paul-de-Varax;60.15
01384;Saint-Rambert-en-Bugey;76.64
01385;Saint-Rémy;133.47
01386;Saint-Sorlin-en-Bugey;124.26
01387;Saint-Sulpice;48.67
01388;Saint-Trivier-de-Courtes;66.67
01389;Saint-Trivier-sur-Moignans;43.68
01390;Saint-Vulbas;58.12
01391;Salavre;34.88
01392;Samognat;46.82
01393;Sandrans;18.75
01396;Sault-Brénaz;174.15
01397;Sauverny;517.46
01398;Savigneux;96.34
01399;Ségny;650.31
01400;Seillonnaz;14.49
01401;Sergy;229.07
01402;Sermoyer;39.04
01403;Serrières-de-Briord;161.27
01404;Serrières-sur-Ain;16.5
01405;Servas;98.08
01406;Servignat;21.78
01407;Seyssel;417.5
01408;Simandre-sur-Suran;40.55
01410;Sonthonnax-la-Montagne;21.22
01411;Souclin;20.7
01412;Sulignat;55.09
01415;Talissieu;103.96
01416;Tenay;77.29
01418;Thil;211.07
01419;Thoiry;208.12
01420;Thoissey;1261.19
01421;Torcieu;68
01422;Tossiat;133.24
01423;Toussieux;237.13
01424;Tramoyes;137.35
01425;La Tranclière;19.53
01426;Val-Revermont;55.88
01427;Trévoux;1211.91
01428;Valeins;28.9
01429;Vandeins;75.21
01430;Varambon;77.47
01431;Vaux-en-Bugey;149.27
